id,kind,title,aliases,birth,death,occupation,community,lat,lng,url
609,place,"Lang Station",,,,,"Soledad Canyon",34.444,-118.363,https://scvhistory.ddev.site/places/lang
926,place,"Lyons Station Stagecoach Stop","Lyon's Station, Hart's Station, Wiley's Station","c. 1854",,,Newhall,34.369,-118.5225,https://scvhistory.ddev.site/places/lyons-station
615,place,"Melody Ranch Motion Picture Studio",,,,,Newhall,34.383,-118.501,https://scvhistory.ddev.site/places/melody-ranch
934,place,"Newhall Pass interchange",,1973,,,Newhall,34.339,-118.504,https://scvhistory.ddev.site/places/newhall-pass-interchange
631,place,"Rancho Camulos",,,,,Piru,34.407,-118.753,https://scvhistory.ddev.site/places/rancho-camulos
635,place,"Ridge Route",,,,,Castaic,34.62,-118.73,https://scvhistory.ddev.site/places/ridge-route
643,place,"Saugus Speedway",,,,,Saugus,34.42,-118.545,https://scvhistory.ddev.site/places/saugus-speedway
613,place,"Six Flags Magic Mountain",,,,,Valencia,34.425,-118.597,https://scvhistory.ddev.site/places/magic-mountain
659,place,"Vasquez Rocks",,,,,"Agua Dulce",34.488,-118.32,https://scvhistory.ddev.site/places/vasquez-rocks
380,organization,"Henry Mayo Newhall Memorial Hospital","Henry Mayo, HMNMH, Hillside Community Hospital",1975,,,Valencia,34.3924,-118.5628,https://scvhistory.ddev.site/organizations/henry-mayo-newhall-memorial-hospital
392,organization,"Historical Society of Southern California",,1883,,,,34.074,-118.213,https://scvhistory.ddev.site/organizations/historical-society-of-southern-california
390,organization,"Los Angeles Herald","L.A. Herald, Herald, Los Angeles Daily Herald",1873,,,,34.051,-118.247,https://scvhistory.ddev.site/organizations/los-angeles-herald
398,organization,"Mission San Francisco de Asís",,"June 29, 1776",,,,37.7644,-122.427,https://scvhistory.ddev.site/organizations/mission-san-francisco-de-asis
386,organization,"Mission San Gabriel Arcángel","San Gabriel Mission","September 8, 1771",,,,34.0975,-118.1067,https://scvhistory.ddev.site/organizations/mission-san-gabriel-arcangel
400,organization,"Mission Santa Cruz",,"September 25, 1791",,,,36.977,-122.029,https://scvhistory.ddev.site/organizations/mission-santa-cruz
384,organization,"Rancho Camulos","Camulos Ranch, Camp Camulos","c. 1839",,,"Camulos; Piru",34.407,-118.753,https://scvhistory.ddev.site/organizations/rancho-camulos
388,organization,"Rancho El Tejon",,1843,,,Tejon,34.945,-118.79,https://scvhistory.ddev.site/organizations/rancho-el-tejon
382,organization,"Rancho San Francisco","Rancho de San Francisco Rancho San Francisco Xavier","January 22, 1839",,,"Camulos; Castaic; Newhall; Piru; Soledad Canyon",34.4275,-118.6125,https://scvhistory.ddev.site/organizations/rancho-san-francisco
396,organization,"Santa Clarita Valley Chamber of Commerce","Newhall-Saugus-Valencia Chamber of Commerce; SCV Chamber",,,,,34.415,-118.545,https://scvhistory.ddev.site/organizations/santa-clarita-valley-chamber-of-commerce
402,organization,"Santa Clarita Valley Water","Newhall Water Company, Newhall County Water District, Newhall Water System, Valencia Water Company, Santa Clarita Water Division, Newhall County Water District, Castaic Lake Water Agency, SCV Water",1913,,,"Canyon Country; Castaic; Newhall; Valencia",34.44,-118.545,https://scvhistory.ddev.site/organizations/santa-clarita-valley-water
378,organization,"SCVHistory.com — Santa Clarita Valley History",,1997–present,,,,34.387,-118.53,https://scvhistory.ddev.site/organizations/scvhistory-com-santa-clarita-valley-history
394,organization,"The City of Santa Clarita",SCV,"December 15, 1987",,,,34.3917,-118.5426,https://scvhistory.ddev.site/organizations/city-of-santa-clarita
376,organization,"The Santa Clarita Valley Signal","The Newhall Signal, The Mighty Signal, TMS, Newhall Signal and Saugus Enterprise",2019,,,,34.423,-118.546,https://scvhistory.ddev.site/organizations/the-santa-clarita-valley-signal
