# SCVHistory.com people
# Creative Commons Attribution 4.0 International (CC-BY-4.0), https://creativecommons.org/licenses/by/4.0/
# Attribution: SCVHistory.com, the Santa Clarita Valley History Archive
# Generated 2026-09-23 from https://scvhistory.ddev.site/, 83 records
id,name,type,subtype,level,aliases,parent,wikidataId,viafId,gnisId,ein,cdsCode,ncesId,nrhpReference,articleCount,url,provenance,updated
16140,"Jo Anne Darcy",person,,,"Anne Darcy",,,,,,,,,21,https://scvhistory.ddev.site/persons/jo-anne-darcy,"created from review, 2026-09-21",2026-09-21
2576,"John Boston",person,,,,,,,,,,,,0,https://scvhistory.ddev.site/persons/john-boston,,2026-09-19
307,"John C. Frémont",person,,,,,Q169011,49265020,,,,,,0,https://scvhistory.ddev.site/persons/john-c-fremont,,2026-09-22
18820,"John Lang",person,,,,,,,,,,,,5,https://scvhistory.ddev.site/persons/john-lang,"created from review, 2026-09-21",2026-09-21
337,"John Timothy Gifford",person,,,,,,,,,,,,0,https://scvhistory.ddev.site/persons/john-gifford,,2026-09-22
16235,"John Wayne",person,,,,,,,,,,,,11,https://scvhistory.ddev.site/persons/john-wayne,"created from review, 2026-09-21",2026-09-21
329,"José Antonio Aguirre",person,,,,,Q6291387,,,,,,,0,https://scvhistory.ddev.site/persons/jose-antonio-aguirre,,2026-09-22
325,"Juan Bandini",person,,,,,Q6298943,308180932,,,,,,0,https://scvhistory.ddev.site/persons/juan-bandini,,2026-09-22
301,"Juan Bautista de Anza",person,,,,,Q727612,311148995761859750793,,,,,,1,https://scvhistory.ddev.site/persons/juan-bautista-de-anza,,2026-09-22
297,"Juan Crespí",person,,,,,Q2712954,60634652,,,,,,0,https://scvhistory.ddev.site/persons/juan-crespi,,2026-09-22
305,"Juan José Francisco de Gracia (""Chico"") Lopez",person,,,,,,,,,,,,0,https://scvhistory.ddev.site/persons/francisco-lopez,,2026-09-22
299,"Junípero Serra",person,,,,,Q522107,79057359,,,,,,4,https://scvhistory.ddev.site/persons/junipero-serra,,2026-09-22
303,"Juventino del Valle",person,,,,,,,,,,,,1,https://scvhistory.ddev.site/persons/juventino-del-valle,,2026-09-22
15976,"Kit Carson",person,,,,,,,,,,,,0,https://scvhistory.ddev.site/persons/kit-carson-2,"created from review, 2026-09-21",2026-09-21
15929,"Laurene Weste",person,,,,,,,,,,,,8,https://scvhistory.ddev.site/persons/laurene-weste,"created from review, 2026-09-21",2026-09-21
279,"Leon Worden",person,,,,,,,,,,,,215,https://scvhistory.ddev.site/persons/leon-worden,,2026-09-22
15897,"Lynne Plambeck",person,,,,,,,,,,,,9,https://scvhistory.ddev.site/persons/lynne-plambeck,"created from review, 2026-09-21",2026-09-21
18848,"Michael Freedman",person,,,,,,,,,,,,5,https://scvhistory.ddev.site/persons/michael-freedman,"created from review, 2026-09-21",2026-09-21
18765,"Michael White",person,,,,,,,,,,,,7,https://scvhistory.ddev.site/persons/michael-white,"created from review, 2026-09-21",2026-09-21
2591,"Patti Rasmussen",person,,,,,,,,,,,,24,https://scvhistory.ddev.site/persons/patti-rasmussen,,2026-09-19
2594,"Pauline Harte",person,,,,,,,,,,,,38,https://scvhistory.ddev.site/persons/pauline-harte,,2026-09-19
287,"Pedro Fages",person,,,,,,,,,,,,1,https://scvhistory.ddev.site/persons/pedro-fages,,2026-09-22
18714,"Phineas Banning",person,,,"General Phineas Banning",,,,,,,,,10,https://scvhistory.ddev.site/persons/phineas-banning,"created from review, 2026-09-21",2026-09-21
18663,"Randy Wicks",person,,,,,,,,,,,,12,https://scvhistory.ddev.site/persons/randy-wicks,"created from review, 2026-09-21",2026-09-21
339,"Remi Allen Nadeau",person,,,,,,,,,,,,1,https://scvhistory.ddev.site/persons/remi-nadeau-i,,2026-09-22
18869,"Remi Nadeau",person,,,,,,,,,,,,5,https://scvhistory.ddev.site/persons/remi-nadeau,"created from review, 2026-09-21",2026-09-21
2585,"Richard Rioux",person,,,,,,,,,,,,32,https://scvhistory.ddev.site/persons/richard-rioux,,2026-09-19
343,"Rodolfo Acosta",person,,,,,Q596071,7577172,,,,,,0,https://scvhistory.ddev.site/persons/rodolfo-acosta,,2026-09-22
15477,"Ruth Newhall",person,,,,,,,,,,,,14,https://scvhistory.ddev.site/persons/ruth-newhall,"created from review, 2026-09-21",2026-09-21
335,"Scott Thomas Wilk Sr.",person,,,,,,,,,,,,0,https://scvhistory.ddev.site/persons/scott-wilk,,2026-09-22
2582,"Sol Taylor",person,,,,,,,,,,,,0,https://scvhistory.ddev.site/persons/sol-taylor,,2026-09-19
16372,"Ted Lamkin",person,,,"Mr. Ted Lamkin",,,,,,,,,6,https://scvhistory.ddev.site/persons/ted-lamkin,"created from review, 2026-09-21",2026-09-21
311,"Thomas O. Larkin",person,,,,,Q12061100,10646649,,,,,,0,https://scvhistory.ddev.site/persons/thomas-o-larkin,,2026-09-22
285,"Tiburcio Vasquez",person,,,,,Q6222916,65752308,,,,,,1,https://scvhistory.ddev.site/persons/tiburcio-vasquez,,2026-09-23
2588,"Tim Whyte",person,,,,,,,,,,,,37,https://scvhistory.ddev.site/persons/tim-whyte,,2026-09-19
18774,"Tom Campbell",person,,,,,,,,,,,,7,https://scvhistory.ddev.site/persons/tom-campbell,"created from review, 2026-09-21",2026-09-21
18783,"Tom Frew",person,,,,,,,,,,,,6,https://scvhistory.ddev.site/persons/tom-frew,"created from review, 2026-09-21",2026-09-21
18702,"Tom Mix",person,,,,,,,,,,,,10,https://scvhistory.ddev.site/persons/tom-mix,"created from review, 2026-09-21",2026-09-21
18756,"Val Thomas",person,,,,,,,,,,,,7,https://scvhistory.ddev.site/persons/val-thomas,"created from review, 2026-09-21",2026-09-21
16439,"Vincent Gelcich",person,,,"Vincent Gelcich; Dr. Vincent Gelcich; Gelcich",,,,,,,,,5,https://scvhistory.ddev.site/persons/vincent-gelcich,"created from review, 2026-09-21",2026-09-21
16411,"Ward Connerly",person,,,,,,,,,,,,0,https://scvhistory.ddev.site/persons/ward-connerly,"created from review, 2026-09-21",2026-09-21
321,"William Lewis Manly",person,,,,,Q4020072,38264563,,,,,,1,https://scvhistory.ddev.site/persons/william-lewis-manly,,2026-09-22
16432,"William Mulholland",person,,,,,,,,,,,,5,https://scvhistory.ddev.site/persons/william-mulholland,"created from review, 2026-09-21",2026-09-21
293,"Ygnacio del Valle",person,,,,,Q8053412,,,,,,,4,https://scvhistory.ddev.site/persons/ygnacio-del-valle,,2026-09-22
