legacy_url,legacy_title,legacy_kind,legacy_section,legacy_words,legacy_images,our_url,our_title,section,entry_type,record_id,author,date,publication,has_byline_fields,our_images,body_cleaned,reviewed,reviewed_at,state
https://scvhistory.com/gif/galleries/lw2728/,"Texas Canyon | Silver King Mine, 3-23-2013.",index,media,617,17,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/gif/galleries/lw2730/,"Saugus | Former Site of Saugus Community Club (Saugus Women's Club), 2014.",index,media,298,10,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/gif/galleries/lw2731/,"St. Francis Dam Disaster | Saugus Community Club Plaque for 7 Member Victims, 1928.",index,media,1962,12,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/gif/galleries/lw2744/,"Newhall | Wildwood Sanatorium Cabin No. 11, Cross Street, Happy Valley, 11-23-2014.",index,media,851,53,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/gif/galleries/lw2762/,"California Oil Museum | Farrar & Trefts Boiler from Pico Canyon.",index,media,1573,56,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/gif/galleries/lw2792/,"Rancho Camulos | ~1850 Del Valle Buggy, Restored 2009.",index,media,1096,44,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/gif/galleries/lw2797/,"Wealth & Water for L.A.: Owens Lake Views; Structures, Ruins, Markers at Keeler, Calif.",index,media,2940,49,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/gif/galleries/lw2810/,"LW2810 | 1994 Northridge Earthquake | Demolition of 23918 Via Onda, Valencia.",index,media,3877,37,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/gif/galleries/lw2821/,"St. Francis Dam Disaster | Woman Sifts Through Wreckage at Santa Paula Home; Plus 10 Images, 1928.",index,media,592,24,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/gif/galleries/lw2828/,"People | Santa Clarita City Council Honors Doreetha Daniels, COC's Oldest Graduate, 7-14-2015.",index,media,830,11,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/gif/galleries/lw2829/,"Acton | Acton Rock Crusher Ruins, 7-15-2015.",index,media,925,17,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/gif/galleries/lw9602/,"Mentryville | Sheriff's Office & Jail Set Built for ABC's 'High Incident' 1996.",index,media,407,10,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/gif/galleries/mentryville050814/,"Mentryville | Oil Field Equipment 2014",index,media,386,21,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/gif/galleries/ramona2013/,"Rancho Camulos | Ramona Days 2013",index,media,1046,17,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/gif/galleries/romerohomesteadcabin/,"Castaic | Alvino Romero's 1912 Homestead Cabin in Romero Canyon.",index,media,612,16,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/gif/galleries/santaclarariverbridge050514/,"Castaic Junction | Ruins of Auto Bridge Over Santa Clara River",index,media,864,35,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/gif/galleries/simeontucker050514/,"San Francisquito Canyon | Ruins of Structure on Tucker Ranch",index,media,1114,16,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/gif/galleries/tn6501/,"CalArts | A New Campus for Cal Arts ... In Placerita Canyon, 1965-66.",index,media,5571,43,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/gif/galleries/tv1501/,"Newhall | Demolition of Insurance Auto Collision Center Bldg., 22520 Lyons Ave., 3-9-2015.",index,media,1122,19,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/gif/galleries/winklerhomestead1921/,"Castaic | Ruins of Norman Winkler's 1921 Homestead House in Romero Canyon",index,media,807,19,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/mentryville/,"Friends of Mentryville: California's First Oil Boom Town",index,mentryville,634,11,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/mentryville/032008/1.html,,other,mentryville/032008,0,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/mentryville/032008/10.html,,other,mentryville/032008,0,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/mentryville/032008/11.html,,other,mentryville/032008,0,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/mentryville/032008/12.html,,other,mentryville/032008,0,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/mentryville/032008/13.html,,other,mentryville/032008,0,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/mentryville/032008/14.html,,other,mentryville/032008,0,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/mentryville/032008/15.html,,other,mentryville/032008,0,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/mentryville/032008/16.html,,other,mentryville/032008,0,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/mentryville/032008/17.html,,other,mentryville/032008,0,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/mentryville/032008/18.html,,other,mentryville/032008,0,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/mentryville/032008/19.html,,other,mentryville/032008,0,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/mentryville/032008/2.html,,other,mentryville/032008,0,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/mentryville/032008/20.html,,other,mentryville/032008,0,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/mentryville/032008/21.html,,other,mentryville/032008,0,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/mentryville/032008/22.html,,other,mentryville/032008,0,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/mentryville/032008/23.html,,other,mentryville/032008,0,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/mentryville/032008/24.html,,other,mentryville/032008,0,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/mentryville/032008/25.html,,other,mentryville/032008,0,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/mentryville/032008/26.html,,other,mentryville/032008,0,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/mentryville/032008/27.html,,other,mentryville/032008,0,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/mentryville/032008/28.html,,other,mentryville/032008,0,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/mentryville/032008/29.html,,other,mentryville/032008,0,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/mentryville/032008/3.html,,other,mentryville/032008,0,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/mentryville/032008/30.html,,other,mentryville/032008,0,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/mentryville/032008/31.html,,other,mentryville/032008,0,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/mentryville/032008/32.html,,other,mentryville/032008,0,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/mentryville/032008/33.html,,other,mentryville/032008,0,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/mentryville/032008/34.html,,other,mentryville/032008,0,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/mentryville/032008/35.html,,other,mentryville/032008,0,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/mentryville/032008/36.html,,other,mentryville/032008,0,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/mentryville/032008/37.html,,other,mentryville/032008,0,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/mentryville/032008/38.html,,other,mentryville/032008,0,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/mentryville/032008/39.html,,other,mentryville/032008,0,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/mentryville/032008/4.html,,other,mentryville/032008,0,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/mentryville/032008/40.html,,other,mentryville/032008,0,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/mentryville/032008/5.html,,other,mentryville/032008,0,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/mentryville/032008/6.html,,other,mentryville/032008,0,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/mentryville/032008/7.html,,other,mentryville/032008,0,1,,,,,,,,,,,,no,,"no record"
https://scvhistory.com/mentryville/032008/8.html,,other,mentryville/032008,0,1,,,,,,,,,,,,no,,"no record"
